ICN,Corporation,Incorporation Date,Status,Status Date,Size,ABN,State,Post Code,Locality,Industry,ACNC Registered?,Numbe of Members,Numbe of Directors,Number of Directors with the Title 'Mr',Number of Directors with the Title 'Miss' or 'Mrs' or 'Ms',Number of Directors with no Sex-Identifying Title,Total Income 2019/20,Total Assets 2019/20,Number of Employees 2019/20,Total Income 2020/21,Total Assets 2020/21,Number of Employees 2020/21,Total Income 2021/22,Total Assets 2021/22,Number of Employees 2021/22,URL,,,,,,,,,,,,,
23,Imangara Aboriginal Corporation,12/10/1979,Registered,12/10/1979,Small,,NT,0870,ALICE SPRINGS,Land and waters management?care for Country; Other,,15,3,1,2,0,,,,,,,< $100K,< $100K,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=23,,,,,,,,,,,,,
24,Jarnba-Gadarlandji Aboriginal Corporation,12/10/1979,Deregistered,12/05/1999,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=24,,,,,,,,,,,,,
25,Pimbaacla Aboriginal Corporation,25/10/1979,Deregistered,2/08/1995,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=25,,,,,,,,,,,,,
26,Utopia Land Aboriginal Corporation,16/08/1979,Deregistered,26/09/1995,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=26,,,,,,,,,,,,,
27,Durri Aboriginal Corporation Medical Service,20/08/1979,Registered,20/08/1979,Large,52730046875,NSW,2440,KEMPSEY,Community services; Health care and health promotion,Y,285,8,2,4,0,> $5m,> $2.5m,> 24,> $5m,> $2.5m,> 24,> $5m,> $2.5m,> 24,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=27,,,,,,,,,,,,,
28,Twofold Aboriginal Corporation,06/09/1979,Registered,6/09/1979,Medium,43120051397,NSW,2549,Broadwater,Community services; Construction; Employment; Health care and health promotion; Heritage and culture; Hospitality and tourism; Housing and tenancy; Other,Y,129,6,4,2,0,$100K - $5m,> $2.5m, 5-24,$100K - $5m,$100K - $2.5m,> 24,$100K - $5m,> $2.5m, 5-24,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=28,,,,,,,,,,,,,
29,Bawinanga Aboriginal Corporation,15/10/1979,Registered,15/10/1979,Large,58572395053,NT,0822,MANINGRIDA,"Agriculture, aquaculture, forestry, fishing; Arts; Communication services; Community services; Construction; Education and training; Employment; Heritage and culture; Housing and tenancy; Land and waters management?care for Country; Manufacturing; Municipal services; Other services; Transport and storage; Wholesale and retail trade (shops)",Y,718,11,8,3,0,> $5m,> $2.5m,> 24,> $5m,> $2.5m,> 24,> $5m,> $2.5m,> 24,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=29,,,,,,,,,,,,,
30,Mpwetyerre Aboriginal Corporation,25/10/1979,Registered,25/10/1979,Small,94036305327,NT,0870,ALICE SPRINGS,Housing and tenancy; Municipal services; Other; Other services,Y,39,5,1,4,0,< $100K,< $100K,0,< $100K,< $100K,0,< $100K,< $100K,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=30,,,,,,,,,,,,,
31,Ilparpa Aboriginal Corporation,25/10/1979,Registered,25/10/1979,Small,27953426819,NT,0870,ALICE SPRINGS,Housing and tenancy; Municipal services; Other,Y,44,4,2,2,0,< $100K,< $100K,0,< $100K,< $100K,0,< $100K,< $100K,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=31,,,,,,,,,,,,,
32,Leeton and District Aboriginal Corporation,25/10/1979,Deregistered,6/04/2005,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=32,,,,,,,,,,,,,
33,Tenterfield Aboriginal Corporation,25/10/1979,Deregistered,3/02/2010,Medium,69587768459,NSW,2372,TENTERFIELD,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=33,,,,,,,,,,,,,
34,Orana Haven Aboriginal Corporation,25/10/1979,Registered,25/10/1979,Medium,59971530712,NSW,2839,GONGOLGON,Community services; Education and training; Health care and health promotion; Other,Y,78,5,3,2,0,$100K - $5m,> $2.5m, 5-24,$100K - $5m,> $2.5m, 5-24,$100K - $5m,> $2.5m, 5-24,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=34,,,,,,,,,,,,,
35,Kununurra Waringarri Aboriginal Corporation,01/11/1979,Registered,1/11/1979,Large,62195764089,WA,6743,Kununurra,Community services; Education and training; Health care and health promotion; Housing and tenancy; Other,Y,68,6,3,3,0,$100K - $5m,> $2.5m,> 24,$100K - $5m,> $2.5m,> 24,$100K - $5m,> $2.5m,> 24,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=35,,,,,,,,,,,,,
37,Tiwi Designs Aboriginal Corporation,24/03/1980,Registered,24/03/1980,Medium,77389678783,NT,0822,BATHURST ISLAND,Arts; Education and training; Employment; Heritage and culture; Hospitality and tourism; Manufacturing; Wholesale and retail trade (shops),Y,28,5,4,1,0,$100K - $5m,$100K - $2.5m, 5-24,$100K - $5m,> $2.5m, 5-24,$100K - $5m,> $2.5m, 5-24,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=37,,,,,,,,,,,,,
