ICN,Corporation,Incorporation Date,Status,Status Date,Size,ABN,State,Post Code,Locality,Industry,ACNC Registered?,Numbe of Members,Numbe of Directors,Number of Directors with the Title 'Mr',Number of Directors with the Title 'Miss' or 'Mrs' or 'Ms',Number of Directors with no Sex-Identifying Title,Total Income 2019/20,Total Assets 2019/20,Number of Employees 2019/20,Total Income 2020/21,Total Assets 2020/21,Number of Employees 2020/21,Total Income 2021/22,Total Assets 2021/22,Number of Employees 2021/22,URL,,,,,,,,,,,,,
886,Woorabinda Alcohol and Drug Abuse Aboriginal Corporation,28/07/1989,Deregistered,12/05/1999,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=886,,,,,,,,,,,,,
887,Yumalong Yumba Student Aboriginal and Torres Strait Islanders Corporation,12/10/1989,Deregistered,27/08/1996,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=887,,,,,,,,,,,,,
888,Amundurrngu Outstations Council Aboriginal Corporation,20/12/1989,Deregistered,22/06/2010,Medium,32530843739,NT,0871,ALICE SPRINGS,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=888,,,,,,,,,,,,,
889,Jemelkere Aboriginal Corporation,22/12/1989,Deregistered,8/05/2001,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=889,,,,,,,,,,,,,
890,Top End Aboriginal Bush Broadcasting Association (Aboriginal Corporation),10/10/1989,Registered,10/10/1989,Medium,25356680084,NT,0829,PINELANDS,Communication services; Other,Y,28,9,5,4,0,$100K - $5m,$100K - $2.5m, 5-24,$100K - $5m,$100K - $2.5m,0,$100K - $5m,$100K - $2.5m, 5-24,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=890,,,,,,,,,,,,,
891,Aboriginal Bush Broadcasting Association (Aboriginal Corporation),19/10/1989,Deregistered,26/09/1995,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=891,,,,,,,,,,,,,
892,Ngalawilli Aboriginal Corporation,29/01/1990,Deregistered,15/05/2007,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=892,,,,,,,,,,,,,
893,Boree Aboriginal Corporation,29/08/1989,Deregistered,25/02/2010,Medium,59368772900,NSW,2800,ORANGE,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=893,,,,,,,,,,,,,
894,Damper Creek Aboriginal Corporation,29/01/1990,Deregistered,13/05/1999,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=894,,,,,,,,,,,,,
896,Ngintaka Women's Council (Kamu Minyma Kutjarratjarra) Aboriginal Corporation,29/01/1990,Deregistered,6/08/2018,Small,99083827024,NT,0872,ALICE SPRINGS,Community services; Health care and health promotion,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=896,,,,,,,,,,,,,
897,Mingarwee Aboriginal Corporation,20/12/1989,Registered,20/12/1989,Small,89670200241,WA,6429,COOLGARDIE,Arts; Communication services; Community services; Education and training; Employment; Health care and health promotion; Housing and tenancy; Land and waters management?care for Country; Other services,Y,13,5,0,1,0,< $100K,< $100K,0,< $100K,< $100K,0,< $100K,< $100K,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=897,,,,,,,,,,,,,
898,Gaire Kawau Organisation Aboriginal and Torres Strait Islanders Corporation,29/01/1990,Deregistered,12/05/1999,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=898,,,,,,,,,,,,,
899,The Blekbala Musicians Aboriginal Corporation,25/08/1989,Deregistered,27/08/1996,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=899,,,,,,,,,,,,,
900,Rockhampton Torres Strait Islanders Corporation Dancing Group,22/12/1989,Deregistered,12/05/1999,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=900,,,,,,,,,,,,,
901,Ahakey Aboriginal Corporation,06/12/1989,Deregistered,12/05/1999,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=901,,,,,,,,,,,,,
902,Gungandji Aboriginal Corporation,29/05/1990,Deregistered,7/02/2003,Not Sized,18023861280,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=902,,,,,,,,,,,,,
903,Coonamble United Sporting Club Aboriginal Corporation,18/09/1989,Deregistered,3/05/1999,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=903,,,,,,,,,,,,,
904,Wongaibon Women's Aboriginal Corporation,29/08/1989,Deregistered,10/02/2004,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=904,,,,,,,,,,,,,
905,Aileron Aboriginal Corporation,11/01/1990,Deregistered,24/10/2009,Medium,,NT,0871,ALICE SPRINGS,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=905,,,,,,,,,,,,,
906,Korrie Youth Action Aboriginal Corporation,22/12/1989,Deregistered,27/08/1996,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=906,,,,,,,,,,,,,
907,Nucoorilma Aboriginal Corporation,09/09/1989,Deregistered,29/01/2002,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=907,,,,,,,,,,,,,
908,Marnjal Community Aboriginal Corporation,29/01/1990,Registered,29/01/1990,Small,,WA,6770,HALLS CREEK,Other,,59,5,0,5,0,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=908,,,,,,,,,,,,,
909,Nargulmungan Aboriginal Corporation,21/09/1989,Deregistered,27/08/1996,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=909,,,,,,,,,,,,,
910,Munggoobyee Aboriginal Corporation,12/01/1990,Deregistered,27/08/1996,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=910,,,,,,,,,,,,,
911,Aheyenehne Aboriginal Corporation,11/01/1990,Deregistered,12/05/1999,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=911,,,,,,,,,,,,,
912,Keringke Arts Aboriginal Corporation,23/10/1989,Registered,23/10/1989,Medium,17407028573,NT,0870,ALICE SPRINGS,Arts; Community services; Education and training; Employment; Hospitality and tourism; Wholesale and retail trade (shops),Y,20,6,0,6,0,$100K - $5m,$100K - $2.5m, 5-24,$100K - $5m,$100K - $2.5m, 5-24,$100K - $5m,$100K - $2.5m, 5-24,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=912,,,,,,,,,,,,,
913,Gurang Land Council (Aboriginal Corporation),15/09/1989,Deregistered,2/02/2015,Small,43509404234,QLD,4670,BUNDABERG,Other,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=913,,,,,,,,,,,,,
914,Broome Aboriginal Media Association (Aboriginal Corporation),25/08/1989,Registered,25/08/1989,Medium,85338681996,WA,6725,BROOME,Arts; Communication services; Education and training; Other,Y,62,9,5,3,0,$100K - $5m,> $2.5m,> 24,$100K - $5m,> $2.5m,> 24,$100K - $5m,> $2.5m, 5-24,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=914,,,,,,,,,,,,,
915,Wangka Maya Pilbara Aboriginal Language Centre (Aboriginal Corporation),19/09/1989,Registered,19/09/1989,Medium,40151070124,WA,6722,SOUTH HEDLAND,Heritage and culture; Other,Y,110,8,2,6,0,$100K - $5m,> $2.5m, 5-24,$100K - $5m,> $2.5m, 5-24,$100K - $5m,> $2.5m, 5-24,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=915,,,,,,,,,,,,,
916,Ngallagunda Aboriginal Corporation,13/10/1989,Registered,13/10/1989,Small,37932597002,WA,6728,DERBY,"Agriculture, aquaculture, forestry, fishing; Hospitality and tourism; Land and waters management?care for Country; Other",Y,72,8,6,2,0,< $100K,> $2.5m,0,< $100K,> $2.5m,0,< $100K,> $2.5m,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=916,,,,,,,,,,,,,
917,Brubrunganjal Aboriginal Corporation,11/01/1990,Deregistered,24/10/2009,Medium,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=917,,,,,,,,,,,,,
918,Umpi Korumba Aboriginal and Torres Strait Islanders Corporation for Housing,26/10/1989,Registered,26/10/1989,Medium,64042106493,QLD,4034,ZILLMERE,Housing and tenancy; Other,Y,45,5,4,1,0,$100K - $5m,> $2.5m, 5-24,$100K - $5m,> $2.5m, 5-24,$100K - $5m,> $2.5m, 5-24,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=918,,,,,,,,,,,,,
919,Mara Camp Aboriginal Corporation,27/10/1989,Registered,27/10/1989,Small,,NT,0854,BORROLOOLA,Other,,4,3,2,1,0,< $100K,< $100K,0,,,0,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=919,,,,,,,,,,,,,
920,Yanyuwa Camp Aboriginal Corporation,27/10/1989,Registered,27/10/1989,Small,,NT,0854,BORROLOOLA,Other,,4,3,1,0,0,< $100K,< $100K,0,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=920,,,,,,,,,,,,,
921,Garawa 1 Camp Aboriginal Corporation,27/11/1989,Registered,10/11/2010,Small,,NT,0854,BORROLOOLA,Other,,12,5,2,0,0,< $100K,< $100K,0,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=921,,,,,,,,,,,,,
922,Wuthathi Council Aboriginal Corporation,25/10/1989,Deregistered,12/05/1999,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=922,,,,,,,,,,,,,
923,Gulingi Nangga Aboriginal Corporation,26/10/1989,Deregistered,11/12/2001,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=923,,,,,,,,,,,,,
924,Wardaman Aboriginal Corporation,29/01/1990,Registered,29/01/1990,Small,20163372735,NT,0850,KATHERINE,Arts; Heritage and culture; Municipal services; Other; Other services,,48,3,0,3,0,< $100K,< $100K,0,< $100K,< $100K,0,< $100K,< $100K,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=924,,,,,,,,,,,,,
925,Mayamumbin Aboriginal Corporation,12/01/1990,Deregistered,24/10/2009,Medium,,NT,0851,KATHERINE,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=925,,,,,,,,,,,,,
926,Tuwakam Aboriginal Corporation,29/01/1990,Deregistered,24/10/2009,Medium,,NT,0851,KATHERINE,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=926,,,,,,,,,,,,,
927,New Burnt Bridge Aboriginal Corporation,20/10/1989,Deregistered,10/09/2003,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=927,,,,,,,,,,,,,
928,United Macleay Valley Aboriginal Corporation,27/03/1990,Deregistered,2/08/1995,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=928,,,,,,,,,,,,,
929,Jungar Aboriginal Corporation,20/12/1989,Deregistered,11/04/2003,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=929,,,,,,,,,,,,,
930,Madjulla Aboriginal Corporation,15/11/1989,Deregistered,15/05/2002,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=930,,,,,,,,,,,,,
931,Greenvale Aboriginal Corporation,06/11/1989,Deregistered,13/05/1999,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=931,,,,,,,,,,,,,
932,Dak Milnigin Aboriginal Corporation,03/11/1989,Deregistered,12/05/1999,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=932,,,,,,,,,,,,,
933,Aboriginal and Torres Strait Islanders Corporation for Youth (Brisbane),27/11/1989,Deregistered,27/08/1996,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=933,,,,,,,,,,,,,
934,Mpwelarre Aboriginal Corporation,15/11/1989,Registered,15/11/1989,Small,19341223766,NT,0870,ALICE SPRINGS,"Agriculture, aquaculture, forestry, fishing; Land and waters management?care for Country; Other",,46,6,2,4,0,< $100K,< $100K,0,< $100K,< $100K,0,< $100K,< $100K,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=934,,,,,,,,,,,,,
935,Ngudugunya Aboriginal Corporation,06/12/1989,Deregistered,22/06/2004,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=935,,,,,,,,,,,,,
936,Gudga-Ga Nura Preschool Aboriginal Corporation,29/01/1990,Deregistered,22/06/2010,Small,17147594230,NSW,2536,MOGO,Education and training,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=936,,,,,,,,,,,,,
937,Midland (Woomera) Aboriginal Corporation,29/01/1990,Deregistered,12/02/1999,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=937,,,,,,,,,,,,,
938,Ngooderi Sports Aboriginal Corporation,29/01/1990,Deregistered,30/05/2006,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=938,,,,,,,,,,,,,
939,Aboriginal Corporation for Information and Resources,16/01/1990,Deregistered,3/05/1999,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=939,,,,,,,,,,,,,
940,Tibooburra Aboriginal Corporation,27/02/1990,Registered,27/02/1990,Small,45413025674,NSW,2880,TIBOOBURRA,Housing and tenancy,Y,6,1,1,0,0,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=940,,,,,,,,,,,,,
941,Smith Aboriginal Corporation,22/12/1989,Deregistered,24/10/2009,Small,,NT,0870,ALICE SPRINGS,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=941,,,,,,,,,,,,,
942,Parnngurr Aboriginal Corporation,06/12/1989,Registered,6/12/1989,Medium,90176040893,WA,6753,NEWMAN,Community services; Education and training; Employment; Hospitality and tourism; Housing and tenancy; Municipal services; Transport and storage; Wholesale and retail trade (shops),Y,118,7,5,2,0,$100K - $5m,$100K - $2.5m, 5-24,$100K - $5m,$100K - $2.5m, 5-24,$100K - $5m,$100K - $2.5m, 1-4,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=942,,,,,,,,,,,,,
943,Parnngurr Community School Aboriginal Corporation,06/12/1989,Registered,6/12/1989,Medium,73896849034,SA,5067,Norwood,Education and training; Employment,Y,64,9,4,5,0,$100K - $5m,> $2.5m, 5-24,$100K - $5m,> $2.5m, 5-24,$100K - $5m,> $2.5m, 5-24,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=943,,,,,,,,,,,,,
944,Community Elders Aboriginal Corporation,20/12/1989,Deregistered,3/05/1999,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=944,,,,,,,,,,,,,
945,Injamulla Aboriginal Corporation for Culture and Training,20/12/1989,Deregistered,12/05/1999,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=945,,,,,,,,,,,,,
946,Iteyepintye Aboriginal Corporation,29/01/1990,Deregistered,24/10/2009,Medium,,NT,0870,ALICE SPRINGS,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=946,,,,,,,,,,,,,
947,Urandangi Womens Aboriginal Corporation,11/05/1990,Deregistered,2/07/2001,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=947,,,,,,,,,,,,,
948,Arlperreyekele Arts Aboriginal Corporation,29/01/1990,Deregistered,12/05/1999,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=948,,,,,,,,,,,,,
949,Pindari Aboriginal Corporation,20/12/1989,Deregistered,27/08/1996,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=949,,,,,,,,,,,,,
950,Kaltukatjara Association (Aboriginal Corporation),16/01/1990,Deregistered,24/10/2009,Medium,,NT,0872,ALICE SPRINGS,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=950,,,,,,,,,,,,,
951,Yuendumu Women's Centre Aboriginal Corporation,18/01/1990,Registered,18/01/1990,Medium,24961528593,NT,0872,YUENDUMU,Communication services; Community services; Education and training; Employment; Health care and health promotion; Heritage and culture; Housing and tenancy; Other; Other services; Wholesale and retail trade (shops),Y,65,11,0,11,0,> $5m,> $2.5m, 1-4,$100K - $5m,$100K - $2.5m, 1-4,$100K - $5m,> $2.5m, 1-4,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=951,,,,,,,,,,,,,
952,Gular CDEP Aboriginal Corporation,29/01/1990,Registered,29/01/1990,Small,16376433843,NSW,2828,GULARGAMBONE,Other,,59,4,2,2,0,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=952,,,,,,,,,,,,,
953,Burra Bee Dee Aboriginal Corporation Womens Support Group,29/01/1990,Deregistered,9/06/1999,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=953,,,,,,,,,,,,,
954,Yangennanock Aboriginal Corporation,29/01/1990,Deregistered,11/01/2000,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=954,,,,,,,,,,,,,
955,Fraser Aboriginal Corporation,09/04/1990,Deregistered,21/05/2018,Small,,NT,0872,ALICE SPRINGS,Land and waters management?care for Country; Other,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=955,,,,,,,,,,,,,
956,Galburring Aboriginal Corporation,22/12/1989,Deregistered,8/12/2020,Small,,WA,6743,Kununurra,Heritage and culture; Other,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=956,,,,,,,,,,,,,
957,NSW Women's Aboriginal Corporation,12/01/1990,Deregistered,24/10/2009,Medium,,NSW,2839,Brewarrina,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=957,,,,,,,,,,,,,
958,Yawarra Aboriginal Corporation,13/01/1990,Registered,13/01/1990,Medium,94026324200,NSW,2877,CONDOBOLIN,Communication services; Other,,66,7,0,2,0,,,,$100K - $5m,$100K - $2.5m,0,,,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=958,,,,,,,,,,,,,
959,Queensland University Aboriginal and Torres Strait Islanders Corporation (Tertiary),29/01/1990,Deregistered,9/06/1999,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=959,,,,,,,,,,,,,
960,Meembah Aboriginal Corporation,09/02/1990,Deregistered,9/06/1999,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=960,,,,,,,,,,,,,
961,Geejar Aboriginal Corporation Collarenebri,29/01/1990,Deregistered,12/03/1997,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=961,,,,,,,,,,,,,
962,Jabir Jabir Aboriginal Corporation,29/01/1990,Deregistered,15/05/2007,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=962,,,,,,,,,,,,,
963,Lukarara Aboriginal Corporation,29/01/1990,Deregistered,28/06/2004,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=963,,,,,,,,,,,,,
964,Magabala Books (Aboriginal Corporation),29/01/1990,Registered,29/01/1990,Medium,56764219082,WA,6725,BROOME,Communication services; Other,Y,60,9,4,4,0,$100K - $5m,> $2.5m, 5-24,$100K - $5m,> $2.5m, 5-24,$100K - $5m,> $2.5m, 5-24,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=964,,,,,,,,,,,,,
965,Rumbul Aboriginal Corporation,29/01/1990,Deregistered,24/10/2009,Medium,,WA,6725,BROOME,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=965,,,,,,,,,,,,,
966,Aboriginal Aged Committee (Aboriginal Corporation),29/01/1990,Deregistered,9/06/1999,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=966,,,,,,,,,,,,,
969,Ntjalka Aboriginal Corporation,22/08/1990,Deregistered,24/10/2009,Small,,NT,0871,ALICE SPRINGS,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=969,,,,,,,,,,,,,
970,Darling Downs Aboriginal and Torres Strait Islanders Corporation for Sport,29/01/1990,Deregistered,9/06/1999,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=970,,,,,,,,,,,,,
971,Dubbo Cultural and Education Centre Aboriginal Corporation,05/02/1990,Deregistered,27/08/1996,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=971,,,,,,,,,,,,,
972,Mullen-Budda Tribal Aboriginal Corporation,09/02/1990,Deregistered,26/05/2006,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=972,,,,,,,,,,,,,
973,Mangkururrpa Aboriginal Corporation,13/02/1990,Registered,13/02/1990,Small,,NT,0870,ALICE SPRINGS,Land and waters management?care for Country; Other,,64,4,3,1,0,< $100K,< $100K,0,< $100K,< $100K,0,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=973,,,,,,,,,,,,,
975,Mura-Le Torres Strait Islanders Corporation,05/02/1990,Deregistered,9/06/1999,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=975,,,,,,,,,,,,,
976,Milacle Aboriginal Corporation,06/02/1990,Deregistered,15/08/1995,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=976,,,,,,,,,,,,,
977,Innawonga Aboriginal Corporation,06/02/1990,Deregistered,8/03/2023,Small,11826188993,WA,6754,PARABURDOO,Education and training; Housing and tenancy; Other,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=977,,,,,,,,,,,,,
978,Ilkarralama Aboriginal Corporation,07/02/1990,Deregistered,24/10/2009,Small,,NT,0871,ALICE SPRINGS,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=978,,,,,,,,,,,,,
979,Irriltyere Aboriginal Corporation,07/02/1990,Deregistered,9/06/1999,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=979,,,,,,,,,,,,,
980,Port Hedland Regional Aboriginal Corporation,07/02/1990,Registered,7/02/1990,Small,30427389936,WA,6721,PORT HEDLAND,Housing and tenancy; Other services,,7,6,3,3,0,< $100K,$100K - $2.5m,0,< $100K,$100K - $2.5m,0,< $100K,$100K - $2.5m,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=980,,,,,,,,,,,,,
981,Wawulum Valley Aboriginal Corporation,09/02/1990,Deregistered,24/10/2009,Medium,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=981,,,,,,,,,,,,,
982,RB River Junction Aboriginal Corporation,07/02/1990,Registered,7/02/1990,Small,,WA,6743,Kununurra,Other; Other services,,16,9,4,3,0,< $100K,< $100K,0,< $100K,< $100K,0,< $100K,< $100K,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=982,,,,,,,,,,,,,
983,Gadiman Aboriginal Corporation,07/02/1990,Deregistered,9/06/1999,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=983,,,,,,,,,,,,,
984,Karlkurla Aboriginal Corporation,07/02/1990,Deregistered,9/06/1999,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=984,,,,,,,,,,,,,
985,Pwertenhatherre Aboriginal Corporation,07/02/1990,Deregistered,26/09/1995,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=985,,,,,,,,,,,,,
986,Bulbulanyi Aboriginal Corporation,09/02/1990,Deregistered,9/06/1999,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=986,,,,,,,,,,,,,
987,Irrwanyere Aboriginal Corporation RNTBC,09/02/1990,Registered,9/02/1990,Small,49263821608,SA,5000,Adelaide,Heritage and culture; Land and waters management?care for Country; Other,Y,298,8,4,4,0,< $100K,$100K - $2.5m,0,< $100K,$100K - $2.5m,0,< $100K,$100K - $2.5m,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=987,,,,,,,,,,,,,
988,Labrabuntja Aboriginal Corporation,09/02/1990,Registered,9/02/1990,Small,,NT,0872,HERMANNSBURG,"Agriculture, aquaculture, forestry, fishing; Other",,28,7,5,2,0,< $100K,< $100K,0,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=988,,,,,,,,,,,,,
